,Name,Address,Rating,types,keyword
3,Harry & Izzy's,"153 South Illinois Street, Indianapolis",4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
4,Buca di Beppo Italian Restaurant,"35 North Illinois Street, Indianapolis",4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
5,Weber Grill Restaurant,"10 North Illinois Street, Indianapolis",4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
6,Slippery Noodle Inn,"372 South Meridian Street, Indianapolis",4.5,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",restaurant
7,The Old Spaghetti Factory,"210 South Meridian Street, Indianapolis",4.3,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
8,Skyline Club - Indianapolis,"1 American Square 36th Floor, Indianapolis",4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
9,Mesh - Indianapolis,"725 Massachusetts Avenue, Indianapolis",4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
10,Kilroy's Bar & Grill,"201 South Meridian Street, Indianapolis",4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
11,Fogo de Chão Brazilian Steakhouse,"117 East Washington Street, Indianapolis",4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
12,Café Patachou,"225 West Washington Street, Indianapolis",4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
13,The Oceanaire Seafood Room,"30 South Meridian Street, Indianapolis",4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
14,A&W Restaurant,"49 West Maryland Street, Indianapolis",4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
15,P.F. Chang's,"49 West Maryland Street Ste 226, Indianapolis",3.9,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
16,Le Peep Downtown Indy,"301 North Illinois Street, Indianapolis",4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
17,Ruth's Chris Steak House,"45 South Illinois Street, Indianapolis",4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
18,Chatham Tap Mass Ave,"719 Massachusetts Avenue, Indianapolis",4.6,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
19,Indianapolis City Market,"222 East Market Street, Indianapolis",4.4,"['florist', 'bicycle_store', 'cafe', 'bar', 'hair_care', 'home_goods_store', 'clothing_store', 'restaurant', 'food', 'store', 'point_of_interest', 'health', 'establishment']",restaurant
